evt_block_time,supply_apy,variable_borrow_apy,stable_borrow_apy,liquidity_usd,liquidity_usdc,liquidity_weth,total_liquidity,Lido staking APR(instant),Lido staking APR(ma_7),CL APR,EL APR,avg_funding_rate_geo,weth_reserve,usdc_reserve,weth_price,usdc_price,trading_volume,eth_usd,steth_usd
2021-11-02,0.009303167021034004,0.3344479204579415,3.418059900572427,133592184.11,15973084.818714997,26567.706324775634,-0.352656857229628,0.05456170415354311,0.05380552335268037,5.456,0.0,0.078131,-0.41061171037344335,0.4218535394838518,4402.927118055559,4427.145416666667,16574.305575452734,4426.459791338403,4402.229761995906
2021-11-03,0.008855216058786796,0.32697656431352007,3.4087207053918998,100346782.14,51832405.750157,10606.648821095127,-0.34862294322499654,0.054901915775961374,0.05387569476535104,5.49,0.0,0.079543,0.5970368771799293,-0.516169627309692,4542.1971875,4573.958958333328,92259.05690239789,4573.823619645496,4542.03866598831
2021-11-04,0.014222093702236335,0.42555030022079826,3.5319378752759976,59942494.53,27723950.335976996,7117.039762119868,-0.34962886131601795,0.0544233622620971,0.05427624699876381,5.442,0.0,0.080959,-0.5269191471319027,0.561545612721917,4502.492534722218,4526.958576388886,57876.56461657976,4526.841110893899,4502.312943837043
2021-11-05,0.008527460359399039,0.3207003144216333,3.4008753930270417,32192111.21,13105763.896805996,4231.276802736518,-0.34962591817674027,0.055096362386763964,0.05450451239392585,5.51,0.0,0.083203,0.878597159259669,-0.8414112441831559,4479.473611111111,4510.777291666666,11663.529768111086,4510.69557992113,4479.3919872799825
2021-11-06,0.008401559743540154,0.31818175627943474,3.397727195349293,165312364.83,23519473.269877013,31785.47574006681,-0.3189631946181953,0.054650817662408535,0.05460872080677638,5.465,0.0,0.085426,-0.6373712302108261,0.6601776721773388,4429.938611111113,4460.933437499998,52339.22673429281,4460.694367506959,4429.662691747705
2021-11-07,0.008117163032272405,0.31591820639138957,3.394897757989237,177635932.67,52394290.46077497,27338.34420921696,-0.5346853006129473,0.05501111275438064,0.05472194009386106,5.501,0.0,0.087063,-0.16940742718522164,0.24324471487301966,4546.688298611117,4581.1714583333305,108392.36096424058,4581.077654990345,4546.520409808171
2021-11-08,0.007836236222846129,0.31040856669110223,3.3880107083638773,143625901.27,73757724.60883798,14822.491309393781,-0.5325920610818372,0.05477581721232827,0.05477444174392616,5.478,0.0,0.088585,0.028412597519732224,0.026985875164207872,4708.567222222222,4713.6594791666685,77639.55012937747,4712.869647312426,4708.445248268612
2021-11-09,0.008939798015820666,0.33401434459592005,3.4175179307448995,149081009.72,18195447.809431,27341.466782231633,-0.4324786158506155,0.05466989546132184,0.054789897645037375,5.467,0.0,0.090117,0.610027960297902,-0.5720154036040251,4763.13097222222,4787.071701388888,29077.28527788607,4786.995713438445,4763.061235333474
2021-11-10,0.009106310473028347,0.33697396172067934,3.4212174521508487,193176696.19,53003148.728473,29609.21420852444,0.020912920139636304,0.05413592922503896,0.05468047099490558,5.414,0.0,0.091641,0.14101543214671514,-0.10174344205249664,4703.295173611114,4734.119131944443,59799.328448965025,4733.674705363329,4702.822753297552
2021-11-11,0.009325995622041595,0.3414962914614598,3.4268703643268243,146724677.18,66007020.64248502,17182.984195706875,-0.0664417299398998,0.05395813049568776,0.05461400931398996,5.396,0.0,0.093201,0.1083457520417938,-0.08526514369679411,4666.4160763888885,4697.5342361111125,18691.741739996014,4697.263928846198,4666.123957117353
